"employee_number","attrition","age","monthly_income","department","job_level","job_role","gender","marital_status","distance_from_home","education","business_travel","over_time","job_satisfaction","environment_satisfaction","job_involvement","performance_rating","relationship_satisfaction","total_working_years","stock_option_level","training_times_last_year","work_life_balance","years_at_company","years_in_current_role","years_since_last_promotion","years_with_curr_manager"
312,"0",29,7918,"Sales",3,"Sales Executive","Female","Married",1,1,"Travel_Frequently","No",4,2,3,3,4,11,1,5,3,11,10,4,1
314,"0",35,8789,"Sales",3,"Sales Executive","Female","Single",1,3,"Travel_Frequently","No",3,3,3,3,1,10,0,3,4,10,7,0,8
315,"1",29,2389,"Research & Development",1,"Research Scientist","Male","Single",18,1,"Travel_Rarely","Yes",4,3,2,3,3,4,0,3,2,4,3,0,1
316,"0",52,3212,"Research & Development",1,"Laboratory Technician","Female","Single",2,3,"Travel_Rarely","No",4,3,2,3,2,6,0,3,2,2,2,2,2
319,"0",42,19232,"Research & Development",5,"Manager","Male","Married",4,2,"Travel_Rarely","No",4,3,3,3,4,22,0,3,3,22,17,11,15
321,"0",59,2267,"Human Resources",1,"Human Resources","Male","Married",6,2,"Travel_Rarely","No",3,2,3,3,4,7,0,2,2,2,2,2,2
323,"0",50,19517,"Sales",5,"Manager","Female","Divorced",1,4,"Travel_Rarely","No",4,4,3,3,3,32,1,3,2,7,0,0,6
325,"1",33,2436,"Research & Development",1,"Laboratory Technician","Male","Married",14,3,"Travel_Rarely","Yes",4,3,3,3,3,8,1,2,1,5,4,0,4
327,"0",43,16064,"Sales",4,"Manager","Female","Married",16,3,"Travel_Rarely","Yes",4,4,3,4,3,22,1,3,3,17,13,1,9
328,"1",33,2707,"Research & Development",1,"Laboratory Technician","Female","Married",2,2,"Travel_Rarely","No",1,1,3,4,1,13,0,3,4,9,7,1,7
330,"0",32,3931,"Sales",1,"Sales Representative","Female","Married",4,2,"Travel_Rarely","No",2,3,3,3,1,6,1,5,3,4,3,1,2
331,"1",32,3730,"Research & Development",1,"Laboratory Technician","Male","Single",1,3,"Travel_Rarely","Yes",3,4,2,3,4,4,0,2,1,3,2,1,2
332,"0",39,2232,"Research & Development",1,"Laboratory Technician","Female","Divorced",1,4,"Travel_Rarely","No",3,3,3,3,3,7,3,1,3,3,2,1,2
333,"0",32,4465,"Sales",2,"Sales Executive","Male","Married",26,4,"Non-Travel","No",4,3,3,3,1,4,0,2,3,3,2,2,2
334,"0",41,3072,"Research & Development",2,"Research Scientist","Male","Divorced",19,2,"Travel_Rarely","No",1,3,3,3,1,17,2,2,2,1,0,0,0
335,"0",40,3319,"Research & Development",2,"Research Scientist","Male","Divorced",24,2,"Travel_Rarely","No",4,1,3,3,1,9,2,3,3,9,8,4,7
336,"0",45,19202,"Research & Development",5,"Manager","Male","Married",1,3,"Travel_Rarely","No",4,3,4,3,3,25,1,2,3,24,0,1,7
337,"0",31,13675,"Research & Development",3,"Research Director","Male","Divorced",3,4,"Travel_Frequently","No",3,2,3,3,1,9,1,3,3,2,2,2,2
338,"0",33,2911,"Research & Development",1,"Research Scientist","Female","Married",5,4,"Travel_Rarely","No",4,3,2,3,3,2,1,2,2,2,2,0,2
341,"0",45,6434,"Research & Development",2,"Manufacturing Director","Male","Married",7,4,"Travel_Frequently","No",3,1,4,3,4,9,1,1,3,3,2,0,2
342,"1",37,10048,"Research & Development",3,"Manufacturing Director","Male","Divorced",10,3,"Travel_Frequently","No",3,1,3,3,2,17,2,5,3,1,0,0,0
343,"0",39,10938,"Research & Development",3,"Healthcare Representative","Female","Single",2,4,"Travel_Frequently","No",3,3,3,4,4,20,0,1,3,19,6,11,8
346,"0",29,2340,"Research & Development",1,"Research Scientist","Male","Single",15,3,"Travel_Rarely","No",4,3,3,3,1,6,0,1,3,6,5,1,5
347,"0",42,6545,"Research & Development",2,"Research Scientist","Female","Single",17,2,"Travel_Rarely","Yes",1,4,4,3,3,10,0,1,3,3,2,0,2
349,"0",29,6931,"Sales",2,"Sales Executive","Male","Divorced",20,2,"Travel_Rarely","No",4,4,3,3,4,10,1,2,3,3,2,0,2
351,"0",42,2593,"Research & Development",1,"Laboratory Technician","Female","Divorced",2,3,"Travel_Rarely","Yes",1,4,2,3,3,10,1,4,3,9,6,7,8
352,"0",40,19436,"Research & Development",5,"Research Director","Male","Divorced",2,2,"Travel_Rarely","No",3,1,3,3,4,22,1,5,3,21,7,3,9
353,"0",51,2723,"Research & Development",1,"Research Scientist","Male","Married",1,3,"Travel_Rarely","No",4,3,3,3,2,1,0,0,2,1,0,0,0
355,"1",31,3479,"Research & Development",1,"Laboratory Technician","Male","Single",29,2,"Travel_Frequently","No",2,3,2,3,2,6,0,2,4,5,4,1,4
362,"0",32,2176,"Research & Development",2,"Laboratory Technician","Male","Single",2,1,"Travel_Rarely","No",1,4,2,3,4,9,0,5,3,6,2,0,4
364,"1",28,3485,"Research & Development",1,"Laboratory Technician","Male","Single",2,4,"Travel_Rarely","No",3,1,3,3,3,5,0,5,1,0,0,0,0
366,"0",29,6644,"Sales",2,"Sales Executive","Male","Married",2,3,"Travel_Rarely","No",2,1,2,3,2,10,2,2,3,0,0,0,0
367,"0",31,5582,"Research & Development",2,"Healthcare Representative","Male","Married",23,3,"Travel_Rarely","No",4,2,2,4,2,10,1,2,3,9,0,7,8
369,"0",25,4000,"Research & Development",2,"Healthcare Representative","Male","Divorced",5,2,"Non-Travel","No",1,2,4,3,4,6,2,2,3,6,3,1,5
372,"0",45,13496,"Research & Development",4,"Healthcare Representative","Male","Married",20,2,"Travel_Rarely","Yes",4,3,3,3,2,21,0,2,3,20,7,4,10
373,"0",36,3210,"Research & Development",1,"Laboratory Technician","Male","Married",6,3,"Travel_Rarely","No",4,4,3,3,3,16,1,4,3,15,13,10,11
376,"1",47,11849,"Research & Development",3,"Manager","Male","Married",29,4,"Non-Travel","Yes",2,1,3,3,4,10,1,2,2,10,7,9,9
377,"0",28,2070,"Research & Development",1,"Research Scientist","Male","Married",9,3,"Travel_Rarely","No",4,4,3,4,4,5,1,3,2,5,2,0,4
378,"0",37,6502,"Sales",2,"Sales Executive","Male","Married",6,4,"Travel_Rarely","No",4,3,3,3,2,7,1,5,4,5,4,0,1
380,"0",37,13603,"Research & Development",3,"Research Director","Female","Divorced",1,4,"Non-Travel","Yes",4,1,3,3,1,15,2,2,3,5,2,0,2
382,"0",38,5605,"Sales",2,"Sales Executive","Female","Divorced",7,2,"Travel_Rarely","Yes",1,1,4,4,3,8,1,3,3,8,0,7,7
384,"0",26,6397,"Research & Development",2,"Manufacturing Director","Female","Divorced",1,3,"Travel_Frequently","No",2,3,3,4,1,6,1,6,1,6,5,1,4
385,"0",50,19144,"Research & Development",5,"Research Director","Male","Divorced",4,1,"Travel_Rarely","No",2,1,3,3,1,28,2,4,2,10,4,1,6
387,"0",42,4907,"Sales",2,"Sales Executive","Male","Married",1,1,"Travel_Rarely","No",3,2,3,4,3,20,0,3,3,20,16,11,6
388,"0",29,4554,"Sales",2,"Sales Executive","Male","Single",2,2,"Travel_Frequently","No",4,2,3,3,1,10,0,3,2,10,7,0,9
389,"0",55,5415,"Research & Development",2,"Laboratory Technician","Male","Married",20,2,"Travel_Rarely","Yes",4,2,3,3,4,12,1,4,3,10,7,0,8
390,"0",26,4741,"Research & Development",2,"Healthcare Representative","Male","Married",11,2,"Travel_Frequently","Yes",1,1,3,3,3,5,1,3,3,5,3,3,3
391,"0",37,2115,"Research & Development",1,"Research Scientist","Female","Single",1,3,"Travel_Rarely","No",4,4,3,3,2,17,0,3,3,17,12,5,7
392,"1",44,3161,"Research & Development",1,"Laboratory Technician","Male","Divorced",24,3,"Travel_Frequently","Yes",3,4,3,4,4,19,1,0,1,1,0,0,0
393,"0",38,5745,"Research & Development",2,"Healthcare Representative","Male","Divorced",23,4,"Travel_Rarely","No",4,4,3,3,2,10,1,2,3,2,2,1,2
394,"1",26,2373,"Research & Development",1,"Laboratory Technician","Male","Divorced",16,4,"Travel_Rarely","Yes",2,1,3,3,4,5,1,2,3,3,2,0,2
395,"0",28,3310,"Research & Development",1,"Research Scientist","Female","Single",8,2,"Travel_Rarely","No",4,4,3,4,4,5,0,3,3,5,3,0,2
396,"0",49,18665,"Research & Development",5,"Research Director","Female","Single",10,4,"Travel_Frequently","Yes",1,3,3,3,4,22,0,4,3,3,2,1,2
397,"0",36,4485,"Research & Development",2,"Research Scientist","Male","Single",3,3,"Travel_Rarely","No",2,3,3,3,4,10,0,2,3,8,0,7,7
399,"0",31,2789,"Sales",1,"Sales Representative","Female","Divorced",5,3,"Travel_Frequently","No",2,4,3,3,3,2,1,5,2,2,2,2,2
401,"1",26,5828,"Sales",2,"Sales Executive","Male","Single",4,4,"Travel_Rarely","Yes",4,4,2,3,2,8,0,0,3,8,7,7,4
405,"1",18,1420,"Research & Development",1,"Laboratory Technician","Male","Single",3,3,"Travel_Rarely","No",3,3,3,3,3,0,0,2,3,0,0,0,0
406,"0",35,8020,"Sales",3,"Sales Executive","Male","Married",16,3,"Travel_Rarely","No",2,3,3,3,3,12,2,3,2,11,9,6,9
407,"0",36,3688,"Research & Development",1,"Laboratory Technician","Male","Married",18,4,"Travel_Frequently","No",4,3,4,3,4,4,2,2,3,1,0,0,0
411,"0",18,1200,"Sales",1,"Sales Representative","Female","Single",10,3,"Travel_Rarely","No",3,4,2,3,1,0,0,2,3,0,0,0,0
416,"0",31,6929,"Sales",2,"Sales Executive","Male","Married",7,3,"Travel_Rarely","No",4,2,4,3,2,10,1,3,2,8,7,7,7
417,"0",39,9613,"Research & Development",3,"Healthcare Representative","Male","Divorced",1,3,"Travel_Rarely","No",4,3,4,3,1,19,3,5,2,18,10,3,7
419,"0",36,5674,"Research & Development",2,"Laboratory Technician","Female","Married",24,4,"Non-Travel","No",2,2,3,3,3,11,1,3,3,9,8,0,8
420,"0",32,5484,"Sales",2,"Sales Executive","Male","Married",7,3,"Travel_Rarely","No",3,4,2,3,3,13,1,3,2,13,8,4,8
421,"0",38,12061,"Research & Development",3,"Research Director","Female","Married",25,2,"Travel_Rarely","No",2,1,2,3,3,19,1,2,3,10,8,0,1
422,"0",58,5660,"Research & Development",2,"Healthcare Representative","Male","Divorced",1,4,"Non-Travel","Yes",3,4,1,3,4,12,1,2,3,5,3,1,2
423,"0",31,4821,"Research & Development",1,"Research Scientist","Male","Married",5,4,"Travel_Rarely","Yes",4,3,3,3,3,6,1,4,3,5,2,0,3
424,"0",31,6410,"Human Resources",2,"Human Resources","Male","Married",2,3,"Travel_Rarely","No",1,1,2,3,4,9,0,1,3,2,2,1,0
425,"0",45,5210,"Research & Development",3,"Laboratory Technician","Male","Divorced",7,3,"Travel_Frequently","No",1,1,3,3,1,24,1,2,3,24,9,9,11
426,"0",31,2695,"Research & Development",1,"Research Scientist","Male","Divorced",2,4,"Travel_Rarely","Yes",4,3,3,3,2,3,1,2,1,2,2,2,2
428,"0",33,11878,"Research & Development",3,"Manager","Female","Married",5,4,"Travel_Frequently","No",2,4,3,3,2,12,2,2,3,10,6,8,8
429,"0",39,17068,"Research & Development",4,"Manager","Male","Married",10,1,"Travel_Rarely","Yes",1,3,3,3,4,21,0,3,3,21,9,11,10
433,"1",52,4941,"Research & Development",2,"Research Scientist","Male","Married",8,4,"Travel_Rarely","No",2,3,2,3,1,11,0,3,2,8,2,7,7
434,"0",27,2478,"Research & Development",1,"Research Scientist","Female","Single",5,3,"Travel_Rarely","Yes",2,3,3,3,2,4,0,2,2,4,3,1,2
438,"0",31,7547,"Sales",2,"Sales Executive","Male","Divorced",7,3,"Travel_Rarely","No",4,4,3,3,4,13,3,3,3,7,7,1,7
439,"0",32,5055,"Research & Development",2,"Research Scientist","Female","Single",2,4,"Travel_Rarely","No",4,1,4,3,3,10,0,0,2,7,7,0,7
440,"1",28,3464,"Research & Development",1,"Research Scientist","Male","Married",2,4,"Travel_Rarely","Yes",4,1,1,3,4,5,0,4,2,3,2,2,2
441,"0",30,5775,"Research & Development",2,"Research Scientist","Female","Married",28,2,"Travel_Rarely","No",4,4,3,3,4,11,2,2,3,10,8,1,9
442,"0",31,8943,"Research & Development",3,"Manufacturing Director","Female","Married",7,2,"Travel_Frequently","No",3,3,2,4,1,10,1,2,3,10,9,8,9
445,"1",39,5238,"Sales",2,"Sales Executive","Female","Married",3,2,"Travel_Rarely","Yes",3,4,3,3,1,12,0,3,2,1,0,0,0
446,"0",33,4682,"Sales",2,"Sales Executive","Male","Single",10,3,"Travel_Frequently","No",4,2,2,3,3,9,0,6,2,7,7,0,1
448,"0",43,5257,"Research & Development",2,"Laboratory Technician","Female","Divorced",10,4,"Travel_Frequently","No",3,3,2,3,2,9,1,3,4,9,7,0,0
449,"0",27,6349,"Sales",2,"Sales Executive","Male","Married",1,1,"Non-Travel","Yes",2,3,3,3,4,6,1,0,3,5,4,1,4
450,"0",54,4869,"Research & Development",2,"Research Scientist","Female","Single",20,4,"Travel_Frequently","No",3,4,3,3,4,20,0,4,2,4,3,0,3
452,"0",45,3697,"Research & Development",2,"Research Scientist","Male","Married",8,4,"Travel_Rarely","No",4,4,3,3,1,12,2,3,3,10,9,9,8
453,"0",40,7457,"Sales",2,"Sales Executive","Male","Married",1,2,"Travel_Rarely","Yes",4,2,1,4,3,6,3,2,2,4,3,0,2
454,"1",29,2119,"Research & Development",1,"Laboratory Technician","Male","Married",8,4,"Travel_Rarely","Yes",1,2,1,3,4,7,0,4,2,7,7,0,7
455,"0",29,3983,"Research & Development",1,"Laboratory Technician","Male","Single",9,5,"Travel_Rarely","No",4,2,2,3,3,4,0,2,3,3,2,2,2
456,"0",30,6118,"Sales",2,"Sales Executive","Female","Divorced",5,3,"Travel_Rarely","No",3,4,2,3,3,10,3,2,3,10,9,1,2
460,"0",37,6347,"Research & Development",2,"Manufacturing Director","Male","Divorced",5,2,"Travel_Rarely","No",4,4,3,3,3,8,2,2,2,6,2,0,4
461,"0",38,11510,"Research & Development",3,"Research Director","Male","Divorced",15,2,"Travel_Rarely","Yes",4,3,2,3,2,12,1,3,3,11,10,2,9
462,"0",31,7143,"Research & Development",3,"Manufacturing Director","Female","Single",7,4,"Travel_Rarely","Yes",4,3,3,3,3,11,0,2,2,11,9,4,10
463,"0",29,8268,"Sales",2,"Sales Executive","Female","Divorced",10,1,"Travel_Rarely","Yes",2,4,2,3,1,7,2,2,3,7,7,1,7
464,"0",35,8095,"Research & Development",3,"Manufacturing Director","Male","Single",5,4,"Travel_Rarely","No",2,3,3,3,4,17,0,5,3,16,6,0,13
465,"0",23,2904,"Research & Development",1,"Research Scientist","Male","Divorced",26,1,"Travel_Rarely","No",4,3,3,3,3,4,2,2,2,4,2,0,2
467,"0",47,2976,"Sales",2,"Sales Representative","Male","Single",4,1,"Travel_Frequently","No",3,2,3,3,1,5,0,3,3,0,0,0,0
468,"0",42,15992,"Research & Development",4,"Research Director","Female","Single",23,5,"Travel_Rarely","No",4,1,3,3,2,16,0,2,3,1,0,0,0
469,"0",29,4649,"Sales",2,"Sales Executive","Male","Married",2,3,"Non-Travel","No",3,4,3,3,1,4,1,3,2,4,3,0,2
470,"0",42,2696,"Human Resources",1,"Human Resources","Male","Divorced",2,1,"Travel_Rarely","Yes",3,3,3,3,3,4,1,5,3,3,2,1,0
473,"0",48,12504,"Sales",3,"Manager","Female","Married",29,1,"Travel_Rarely","No",3,1,3,4,2,15,1,3,1,0,0,0,0
474,"0",37,5974,"Research & Development",2,"Research Scientist","Male","Divorced",6,3,"Travel_Rarely","Yes",1,3,4,3,1,13,2,2,3,7,7,6,7
475,"0",30,4736,"Sales",2,"Sales Executive","Female","Married",25,2,"Non-Travel","Yes",3,4,3,3,2,4,1,2,4,2,2,2,2
477,"0",42,6781,"Research & Development",2,"Healthcare Representative","Male","Single",2,4,"Travel_Rarely","No",4,1,2,4,2,14,0,6,3,1,0,0,0
478,"1",21,2174,"Sales",1,"Sales Representative","Female","Single",1,1,"Travel_Frequently","Yes",2,1,2,3,3,3,0,3,3,3,2,1,2
479,"0",36,6653,"Sales",2,"Sales Executive","Female","Single",1,5,"Non-Travel","No",4,4,3,3,2,7,0,6,3,1,0,0,0
482,"0",57,6755,"Research & Development",2,"Healthcare Representative","Male","Married",1,4,"Travel_Rarely","No",3,4,3,3,3,15,0,2,3,3,2,1,2
483,"0",40,2213,"Research & Development",1,"Laboratory Technician","Female","Married",10,4,"Travel_Rarely","Yes",3,4,4,3,3,10,1,3,3,7,7,1,7
485,"1",33,2851,"Sales",1,"Sales Representative","Female","Single",5,3,"Travel_Rarely","Yes",3,4,3,3,2,1,0,2,3,1,0,0,0
486,"0",37,3452,"Research & Development",1,"Laboratory Technician","Female","Married",10,3,"Travel_Rarely","No",1,3,3,4,2,17,1,3,3,5,4,0,3
488,"1",41,9355,"Sales",2,"Sales Executive","Male","Single",4,3,"Travel_Frequently","No",2,1,3,3,3,8,0,5,3,8,7,7,7
491,"0",50,10496,"Research & Development",3,"Healthcare Representative","Male","Single",10,3,"Travel_Rarely","No",4,4,2,3,4,20,0,2,3,4,3,1,3
492,"1",40,6380,"Sales",2,"Sales Executive","Male","Married",22,2,"Travel_Rarely","Yes",3,3,2,3,1,8,2,6,3,6,4,1,0
493,"0",31,2657,"Research & Development",1,"Research Scientist","Male","Single",9,4,"Travel_Rarely","Yes",2,3,2,3,4,3,0,5,3,2,2,2,2
494,"1",21,2716,"Sales",1,"Sales Representative","Female","Single",12,3,"Travel_Rarely","No",2,3,4,3,4,1,0,0,3,1,0,0,0
495,"0",29,2201,"Research & Development",1,"Research Scientist","Male","Single",23,3,"Travel_Rarely","No",4,4,3,3,4,6,0,4,3,3,2,1,2
497,"0",27,3816,"Research & Development",1,"Laboratory Technician","Male","Divorced",1,2,"Travel_Rarely","No",2,4,3,3,2,5,1,2,3,5,2,0,4
498,"0",28,5253,"Sales",2,"Sales Executive","Male","Single",9,4,"Travel_Rarely","No",4,2,3,3,4,7,0,1,3,7,5,0,7
501,"0",36,2543,"Research & Development",1,"Research Scientist","Female","Married",2,3,"Travel_Rarely","No",3,4,3,3,2,6,1,3,3,2,2,2,2
502,"1",34,5304,"Sales",2,"Sales Executive","Male","Single",19,3,"Non-Travel","Yes",4,1,4,3,2,9,0,3,2,5,2,0,4
507,"0",24,4260,"Sales",2,"Sales Executive","Female","Divorced",10,4,"Travel_Rarely","Yes",3,4,3,3,4,5,1,2,4,5,2,0,3
510,"1",26,3102,"Research & Development",1,"Research Scientist","Male","Single",3,1,"Travel_Frequently","No",1,3,3,4,3,7,0,2,3,6,4,0,4
513,"0",36,7596,"Sales",3,"Sales Executive","Male","Married",2,2,"Travel_Rarely","No",3,2,2,3,2,10,2,2,3,10,9,9,0
514,"1",30,2285,"Research & Development",1,"Research Scientist","Male","Single",4,3,"Travel_Frequently","Yes",4,3,3,4,3,3,0,4,3,1,0,0,0
515,"0",37,3034,"Research & Development",1,"Laboratory Technician","Female","Divorced",14,3,"Travel_Rarely","No",1,4,3,3,3,18,1,2,2,18,7,12,17
516,"0",40,5715,"Sales",2,"Sales Executive","Female","Divorced",2,2,"Travel_Rarely","No",2,4,3,3,3,8,2,5,3,5,4,1,3
517,"0",42,2576,"Research & Development",1,"Laboratory Technician","Female","Divorced",1,4,"Travel_Rarely","No",1,2,3,3,2,8,1,5,3,5,2,1,2
518,"0",37,4197,"Research & Development",2,"Manufacturing Director","Male","Single",10,4,"Travel_Rarely","Yes",2,3,3,3,4,18,0,2,2,1,0,0,1
521,"0",40,3448,"Research & Development",2,"Laboratory Technician","Female","Married",2,3,"Travel_Rarely","No",3,2,2,4,2,20,1,3,3,1,0,0,0
522,"0",54,19406,"Research & Development",5,"Research Director","Male","Married",5,2,"Travel_Rarely","No",1,1,3,3,3,24,1,4,2,4,2,1,2
524,"0",31,4306,"Research & Development",2,"Manufacturing Director","Female","Married",7,2,"Travel_Rarely","No",1,2,3,3,2,13,1,5,1,13,10,3,12
525,"0",43,2258,"Research & Development",1,"Laboratory Technician","Male","Married",21,3,"Travel_Frequently","No",4,4,3,4,1,8,1,1,3,3,2,1,2
526,"0",43,4522,"Research & Development",2,"Healthcare Representative","Female","Divorced",8,4,"Travel_Rarely","Yes",3,3,3,3,4,8,0,3,3,5,2,0,2
527,"0",25,4487,"Sales",2,"Sales Executive","Female","Single",4,2,"Travel_Rarely","Yes",4,2,2,3,2,5,0,3,3,5,4,1,3
529,"0",37,4449,"Research & Development",2,"Research Scientist","Female","Married",25,5,"Non-Travel","Yes",3,2,3,3,1,15,2,2,3,13,11,10,7
532,"0",56,13212,"Sales",4,"Sales Executive","Female","Married",6,3,"Travel_Frequently","No",1,3,4,3,4,36,3,0,2,7,7,7,7
534,"0",41,8392,"Sales",3,"Sales Executive","Male","Married",1,3,"Travel_Rarely","No",1,2,4,3,3,10,1,2,3,10,7,0,7
536,"0",28,4558,"Research & Development",2,"Laboratory Technician","Male","Divorced",17,2,"Travel_Rarely","No",1,3,3,3,4,10,1,2,3,10,0,1,8
538,"1",25,4031,"Research & Development",1,"Laboratory Technician","Male","Married",3,3,"Travel_Rarely","No",1,1,3,3,3,6,1,5,3,2,2,0,2
543,"0",52,7969,"Research & Development",3,"Manufacturing Director","Male","Married",3,3,"Travel_Rarely","Yes",3,4,2,3,3,28,0,4,3,5,4,0,4
544,"0",45,2654,"Research & Development",1,"Research Scientist","Male","Married",10,2,"Travel_Rarely","No",4,1,3,4,4,8,2,3,2,2,2,0,2
546,"0",52,16555,"Research & Development",4,"Manager","Female","Married",4,2,"Travel_Rarely","No",4,4,3,3,4,31,0,2,1,5,2,1,4
547,"0",42,4556,"Research & Development",2,"Research Scientist","Female","Divorced",29,2,"Travel_Frequently","No",3,1,3,3,2,19,1,3,3,5,4,0,2
548,"0",30,6091,"Research & Development",2,"Manufacturing Director","Female","Single",2,3,"Travel_Rarely","No",4,3,1,4,3,11,0,2,3,5,4,0,2
550,"0",46,4810,"Research & Development",2,"Manufacturing Director","Female","Divorced",18,3,"Travel_Rarely","No",3,3,3,3,3,19,1,5,2,10,7,0,8
551,"0",42,4523,"Research & Development",2,"Healthcare Representative","Female","Married",28,4,"Travel_Frequently","No",4,4,2,3,4,7,3,4,4,6,5,0,4
554,"1",24,3202,"Sales",1,"Sales Representative","Female","Single",1,1,"Travel_Rarely","Yes",2,1,3,3,2,6,0,4,3,5,3,1,4
555,"1",34,2351,"Sales",1,"Sales Representative","Female","Divorced",6,2,"Travel_Frequently","No",3,4,1,3,4,3,1,3,2,2,2,1,0
558,"0",40,18041,"Sales",5,"Manager","Female","Married",2,4,"Travel_Rarely","No",3,3,3,3,4,21,0,2,3,20,15,1,12
560,"0",26,2886,"Research & Development",1,"Research Scientist","Female","Divorced",23,3,"Travel_Rarely","No",4,1,3,4,2,3,2,3,1,3,2,0,2
562,"0",30,2097,"Research & Development",1,"Laboratory Technician","Male","Married",3,3,"Non-Travel","No",4,3,3,3,3,9,1,3,1,5,3,1,4
564,"0",29,11935,"Research & Development",3,"Research Director","Male","Married",3,4,"Travel_Rarely","No",3,2,2,3,3,10,0,2,3,10,2,0,7
565,"1",29,2546,"Research & Development",1,"Research Scientist","Female","Married",25,5,"Travel_Rarely","No",2,3,2,3,2,6,0,2,4,2,2,1,1
566,"1",19,2564,"Human Resources",1,"Human Resources","Male","Single",2,2,"Travel_Rarely","No",4,1,2,3,3,1,0,3,4,1,0,0,0
567,"0",30,8412,"Sales",3,"Sales Executive","Female","Married",22,4,"Non-Travel","No",1,3,3,3,3,10,0,3,3,9,8,7,8
569,"0",50,17046,"Research & Development",4,"Manager","Male","Married",29,4,"Travel_Rarely","No",3,2,2,3,2,28,1,2,3,27,10,15,7
571,"0",30,2564,"Research & Development",1,"Laboratory Technician","Female","Single",2,3,"Non-Travel","No",4,3,3,3,3,12,0,2,2,11,7,6,7
573,"0",60,10266,"Sales",3,"Sales Executive","Female","Married",28,3,"Travel_Frequently","No",1,3,2,3,4,22,0,5,4,18,13,13,11
574,"0",47,5070,"Research & Development",2,"Manufacturing Director","Female","Divorced",2,2,"Travel_Rarely","No",4,1,3,3,3,20,3,2,3,5,0,0,4
578,"0",54,3780,"Research & Development",2,"Laboratory Technician","Female","Single",8,4,"Travel_Rarely","No",3,3,3,3,3,19,0,3,3,1,0,0,0
579,"0",34,2768,"Research & Development",1,"Research Scientist","Male","Divorced",2,4,"Travel_Rarely","No",3,4,2,3,3,14,1,3,3,7,3,5,7
581,"0",31,10648,"Research & Development",3,"Manufacturing Director","Male","Divorced",9,1,"Travel_Rarely","No",2,3,3,4,4,13,1,6,4,13,8,0,8
582,"1",33,13610,"Research & Development",3,"Manager","Male","Married",15,1,"Travel_Rarely","Yes",3,2,3,3,4,15,0,2,4,7,6,7,7
584,"1",33,3408,"Research & Development",1,"Laboratory Technician","Male","Divorced",10,1,"Travel_Rarely","No",4,1,1,3,1,8,3,2,3,4,3,1,3
585,"0",30,2983,"Sales",1,"Sales Representative","Male","Single",7,1,"Travel_Rarely","No",2,4,3,3,1,4,0,3,3,3,2,1,2
586,"0",35,7632,"Research & Development",3,"Healthcare Representative","Male","Married",16,3,"Travel_Rarely","Yes",3,4,3,3,3,10,0,2,3,8,7,0,0
587,"1",31,9824,"Research & Development",3,"Healthcare Representative","Male","Married",20,3,"Travel_Frequently","No",3,1,3,3,1,12,0,2,3,1,0,0,0
590,"1",34,9950,"Human Resources",3,"Human Resources","Female","Divorced",23,3,"Travel_Frequently","Yes",1,2,3,3,3,11,3,2,3,3,2,0,2
591,"0",42,2093,"Research & Development",1,"Laboratory Technician","Male","Married",5,2,"Travel_Frequently","No",3,2,3,3,4,8,1,4,3,2,2,2,0
592,"0",36,9980,"Sales",3,"Sales Executive","Male","Single",10,4,"Non-Travel","No",4,2,3,3,4,10,0,3,2,10,3,9,7
593,"1",22,3894,"Research & Development",1,"Laboratory Technician","Male","Single",4,1,"Travel_Frequently","No",3,3,2,3,3,4,0,3,3,2,2,1,2
597,"0",55,16835,"Sales",4,"Manager","Female","Single",18,5,"Travel_Rarely","No",2,1,3,4,4,37,0,2,3,10,9,7,7
600,"0",35,4717,"Sales",2,"Sales Executive","Male","Married",1,3,"Travel_Rarely","No",3,2,3,3,3,15,0,2,3,11,9,6,9
601,"0",40,13237,"Research & Development",4,"Manufacturing Director","Female","Single",6,3,"Travel_Rarely","No",3,2,3,3,3,22,0,3,3,20,6,5,13
602,"0",39,3755,"Research & Development",1,"Laboratory Technician","Female","Married",8,1,"Travel_Frequently","No",3,3,3,3,1,8,1,3,3,8,3,0,7
604,"0",31,6582,"Sales",2,"Sales Executive","Male","Single",2,1,"Travel_Rarely","Yes",4,2,3,3,3,10,0,2,4,6,5,0,5
605,"0",42,7406,"Research & Development",3,"Manufacturing Director","Male","Married",24,3,"Travel_Rarely","Yes",1,4,3,4,4,10,1,5,2,10,9,5,8
606,"0",45,4805,"Sales",2,"Sales Executive","Male","Married",2,3,"Travel_Rarely","No",2,4,3,3,2,9,1,3,4,8,7,3,7
608,"1",26,2741,"Human Resources",1,"Human Resources","Female","Divorced",17,4,"Travel_Frequently","Yes",3,2,3,3,2,8,1,2,2,7,7,1,0
611,"0",29,4262,"Research & Development",2,"Manufacturing Director","Male","Divorced",19,3,"Travel_Rarely","No",4,4,3,3,2,8,2,2,4,3,2,1,2
614,"1",18,1878,"Sales",1,"Sales Representative","Male","Single",5,3,"Travel_Frequently","Yes",2,2,3,3,4,0,0,3,3,0,0,0,0
615,"0",40,10932,"Sales",3,"Sales Executive","Male","Divorced",28,3,"Non-Travel","No",1,3,1,3,3,20,1,2,3,1,0,0,1
616,"0",41,6811,"Research & Development",2,"Healthcare Representative","Female","Single",2,4,"Non-Travel","Yes",3,1,2,3,1,10,0,3,3,8,7,0,7
